ROAD TRIP CSV ";,"
Version;Language
2000;fr


RECORDS DE CARBURANT
Odomètre (km);Odomètre de Voyage;Date;Essence Montant;Essence unités;Prix par unité;Prix total;Réservoir plein;l/100 km;Note;Indice d'octane;Emplacement;Paiement;Conditions;Réinitialiser;Catégories;Flags;Code de monnaie;Taux de change;Latitude;Longitude;ID;Trip Comp Fuel Economy;Trip Comp Avg. Speed;Trip Comp Temperature;Trip Comp Drive Time;Tank Number
84670;;"2019-12-5 10:00";39,5;L;1,5724;62,11;;;;"SP98";"Total Europe";;;Reset;;9;;1;;;1;;;;;0
84947;277;"2019-12-12 6:31";22,02;L;1,4691;32,35;;7,9495;;"SP95 E10";"Total Brest";;;;;0;;1;48,410529;-4,515334;2;;;;;0
85165;218;"2019-12-16 19:52";13,52;L;1,4601;19,74;;6,2018;;;;;;;;0;;1;48,388591;-4,528245;3;;;;;0
85471;306;"2019-12-25 12:25";24,53;L;1,459;35,79;;8,0163;;"SP95 E10";;;;;;0;;1;48,388324;-4,528162;4;;;;;0
85939;468;"2019-12-26 10:19";31,79;L;1,6439;52,26;;6,7927;;;;;;;;0;;1;48,239448;1,081703;5;;;;;0
86371;432;"2019-12-26 15:28";30,47;L;1,4391;43,85;;7,0532;;;;;;;;0;;1;48,188426;5,883285;6;;;;;0
86803;432;"2019-12-28 18:48";30,23;L;1,4978;45,28;;6,9977;;;;;;;;0;;1;49,106112;6,207899;7;;;;;0
87108;305;"2019-12-29 11:07";23,08;L;1,6642;38,41;;7,5672;;;;;;;;0;;1;48,830291;2,74591;8;;;;;0
87595;487;"2019-12-29 16:27";31,39;L;1,4839;46,58;;6,4456;;;;;;;;0;;1;48,534626;-2,760525;9;;;;;0
88098;503;"2020-1-4 19:55";34,28;L;1,4749;50,56;;6,8151;;;;;;;;0;;1;48,416178;-4,471397;10;;;;;0
88579;481;"2020-1-22 18:54";36,71;L;1,4669;53,85;;7,632;;;;;;;;0;;1;48,381566;-4,377284;11;;;;;0
